AREA_TITLE,OCC_TITLE,O_GROUP,A_MEDIAN,A_PCT10,A_PCT25,A_PCT75,A_PCT90,A_MEAN
Florida,"Farmworkers, Farm, Ranch, and Aquacultural Animals",detailed,36790,29730,33610,44770,52540,39850
Florida,"Agricultural Workers, All Other",detailed,33280,31200,31200,36740,41600,35730
Florida,Forest and Conservation Workers,detailed,36780,35160,35350,37370,50120,38230
Florida,Logging Equipment Operators,detailed,49370,37440,46850,50240,62760,49960
Florida,Log Graders and Scalers,detailed,39040,31850,38480,50720,59070,43150
Florida,Construction and Extraction Occupations,major,49370,36530,42750,61740,79870,55570
Florida,First-Line Supervisors of Construction Trades and Extraction Workers,detailed,75790,49920,60490,95200,118300,79200
Florida,Boilermakers,detailed,69790,48040,58800,71180,72800,65190
Florida,Brickmasons and Blockmasons,detailed,52760,37430,44370,62410,70250,54980
Florida,Stonemasons,detailed,58980,37430,48910,69480,72350,57130
Florida,Carpenters,detailed,49870,36910,44540,59880,69950,52560
Florida,Carpet Installers,detailed,48580,36000,38020,53280,65140,49300
Florida,"Floor Layers, Except Carpet, Wood, and Hard Tiles",detailed,57020,30240,49530,77420,89220,58910
Florida,Floor Sanders and Finishers,detailed,52060,32640,45800,53340,56060,49190
Florida,Tile and Stone Setters,detailed,47280,28050,38010,60610,72380,50470
Florida,Cement Masons and Concrete Finishers,detailed,48680,38240,45660,57270,63310,52530
Florida,Terrazzo Workers and Finishers,detailed,49500,40230,46860,64600,75310,54160
Florida,Construction Laborers,detailed,44030,33280,37090,47970,58900,44550
Florida,"Paving, Surfacing, and Tamping Equipment Operators",detailed,46840,37910,40140,51950,60780,48530
Florida,Pile Driver Operators,detailed,51830,46060,49390,62830,81590,58370
Florida,Operating Engineers and Other Construction Equipment Operators,detailed,49400,38820,46330,58360,64020,52590
